title,ratings,reviews,url,course_by,skills,price,id,"level, type and duration"
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650),4.8,580,https://www.coursera.org/learn/western-christianity-200-1650,Yale University,"Business Psychology, Culture, Leadership and Management, Business Analysis, Critical Thinking, Research and Design, Strategy and Operations",Free,260,Beginner · Course · 1-3 Months
Diabetes – the Essential Facts,4.7,2000,https://www.coursera.org/learn/diabetes-essential-facts,University of Copenhagen,,Free,262,Beginner · Course · 1-4 Weeks
Art & Inquiry: Museum Teaching Strategies For Your Classroom,4.7,431,https://www.coursera.org/learn/artinquiry,The Museum of Modern Art,"Business Analysis, Critical Thinking, Research and Design, Strategy and Operations, Business Psychology, Entrepreneurship, Human Learning, Human Resources, Leadership and Management, People Development",Free,263,Mixed · Course · 1-4 Weeks
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,4.8,123000,https://www.coursera.org/learn/mindshift,McMaster University,"Business Psychology, Entrepreneurship, Human Learning, Communication, Emotional Intelligence, Leadership and Management",Free,265,Beginner · Course · 1-4 Weeks
Protecting the World: Introducing Corrosion Science and Engineering,4.6,766,https://www.coursera.org/learn/corrosion,University of Manchester,"Material Handling, Feature Engineering, Graph Theory, Machine Learning, Mathematics, Entrepreneurship, Market Research, Research and Design, Big Data, Data Management, Data Visualization, Scientific Visualization",Free,266,Intermediate · Course · 1-4 Weeks
Sports and Society,4.8,11000,https://www.coursera.org/learn/sports-society,Duke University,"Business Psychology, Culture, Leadership and Management, Game Theory, Mathematics",Free,267,Mixed · Course · 1-3 Months
"Social Norms, Social Change I",4.6,2000,https://www.coursera.org/learn/norms,University of Pennsylvania,"Design and Product, Entrepreneurship, Human Computer Interaction, Market Research, Research and Design, User Research",Free,268,Beginner · Course · 1-4 Weeks
Practical Time Series Analysis,4.6,16000,https://www.coursera.org/learn/practical-time-series-analysis,The State University of New York,"General Statistics, Probability & Statistics, Forecasting, Statistical Programming, Computer Programming, R Programming, Data Analysis, Algorithms, Correlation And Dependence, Data Visualization, Machine Learning, Mathematics, Plot (Graphics), Programming Principles, Statistical Analysis, Statistical Machine Learning, Statistical Tests, Theoretical Computer Science, Basic Descriptive Statistics, Bayesian Statistics, Data Analysis Software, Data Mining, Estimation, Experiment, Exploratory Data Analysis, Probability Distribution, Regression",Free,269,Intermediate · Course · 1-3 Months
Astrobiology: Exploring Other Worlds,4.9,408,https://www.coursera.org/learn/astrobiology-exploring-other-worlds,University of Arizona,"Communication, Epidemiology, Mathematics, Probability & Statistics",Free,270,Beginner · Course · 1-3 Months
Researcher Management and Leadership Training,4.9,288,https://www.coursera.org/learn/researcher-management-leadership-training,University of Colorado System,"Leadership and Management, Human Resources, Strategy and Operations, Leadership Development, Entrepreneurship, People Management, Budget Management, Finance, Financial Management, Performance Management, Professional Development, Recruitment",Free,271,Intermediate · Course · 1-3 Months
Climate Change Mitigation in Developing Countries,4.7,490,https://www.coursera.org/learn/climate-change-mitigation,University of Cape Town,"Entrepreneurship, Leadership and Management, Marketing, Problem Solving, Research and Design, Sales, Strategy, Strategy and Operations",Free,272,Intermediate · Course · 1-3 Months
Smart Cities – Management of Smart Urban Infrastructures,4.7,16000,https://www.coursera.org/learn/smart-cities,École Polytechnique Fédérale de Lausanne,"Computer Architecture, Computer Graphics, Computer Networking, Human Computer Interaction, Interactive Design, Supply Chain and Logistics, Entrepreneurship, Business Analysis, Data Visualization, Data Visualization Software, Leadership and Management, Marketing, Operations Management, Packaging and Labeling, Store Management, Strategy and Operations, Transportation Operations Management",Free,273,Beginner · Course · 1-3 Months
Advanced Neurobiology I,4.1,537,https://www.coursera.org/learn/advanced-neurobiology1,Peking University,"Accounting, Communication, Entrepreneurship, Probability & Statistics, Business Analysis, Data Analysis, Data Management, Market Research, Marketing, Mathematics, Research and Design, Algebra, Biostatistics, Business Communication, Business Psychology, Experiment, Human Resources, Market Analysis, Accounting Software, Applied Mathematics, Behavioral Economics, Benefits, Big Data, Bioinformatics, Business Process Management, Calculus, Clinical Data Management, Computer Architecture, Corporate Accouting, Data Analysis Software, Financial Analysis, General Accounting, Hardware Design, Human Learning, Marketing Management, Spreadsheet Software, Statistical Analysis, Strategy and Operations, Training, Writing",Free,274,Intermediate · Course · 1-3 Months
"Agriculture, Economics and Nature",4.7,380,https://www.coursera.org/learn/agriculture-economics-nature,University of Western Australia,"Leadership and Management, Accounting, Business Psychology, Entrepreneurship, Organizational Development, Strategy and Operations, Adaptability, Behavioral Economics, Data Visualization, Econometrics, Operations Management, Probability & Statistics, Problem Solving, Research and Design, Scientific Visualization",Free,275,Beginner · Course · 1-3 Months
The Horse Course: Introduction to Basic Care and Management,4.9,875,https://www.coursera.org/learn/horse-care,University of Florida,Leadership and Management,Free,276,Mixed · Course · 1-3 Months
Claves para Gestionar Personas,4.8,21000,https://www.coursera.org/learn/gestionar-personas,IESE Business School,"Entrepreneurship, Human Resources, Sales, Leadership and Management, Strategy and Operations, Budget Management, Finance, Recruitment",Free,277,Mixed · Course · 1-3 Months
Gestión Empresarial Exitosa para Pymes,4.8,5000,https://www.coursera.org/learn/gestionempresarialpyme,Pontificia Universidad Católica de Chile,"Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Accounting, Business Analysis, Data Analysis, Finance, Financial Analysis, Human Resources",Free,278,Mixed · Course · 1-3 Months
From the Big Bang to Dark Energy,4.8,33000,https://www.coursera.org/learn/big-bang,The University of Tokyo,"Mathematics, Entrepreneurship, Leadership and Management, Problem Solving",Free,279,Beginner · Course · 1-4 Weeks
